subject	BIDS check	fmriprep check	Anat	epi_r1	sdc_r1	epi_r2	sdc_r2	epi_r3	sdc_r3	epi_r4	sdc_r4	From TSV Files	fd_r1	min_r1	max_r1	mcflirt_3mm_r1	fd_r2	min_r2	max_r2	mcflirt_3mm_r2	fd_r3	min_r3	max_r3	mcflirt_3mm_r3	fd_r4	min_r4	max_r4	mcflirt_3mm_r4	FSL Level 1	activation_r1	activation_r2	activation_r3	activation_r4	FINAL CHECK	Intials
sub-071	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011419949999999979	0.47137299	pass	pass	0.023137	0.42030425	pass	pass	0.017483500000000003	0.39392973	pass	pass	0.02711118400000001	1.674900333	pass	--						
sub-072	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02979947999999997	0.4881235350000001	pass	pass	0.02678181000000001	1.1087378	pass	pass	0.018559232630000002	0.60180735	pass	pass	0.025366200000000002	0.99911672	pass	--						
sub-073	y	--	good	check	poor	check	poor	check	poor			--	pass	0.035673199999999974	1.1049385	pass	pass	0.015249081000000006	0.8287079400000001	pass	pass	0.041602199999999985	0.6433713999999999	pass					--						
sub-074	y	--										--																	--						
sub-075	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.04403699999999997	2.2289920000000003	pass	pass	0.033780300000000006	2.489798965	pass	pass	0.02329011000000001	0.89198833	pass	pass	0.02575379999999997	2.10006635	pass	--						
sub-076													pass	0.020212837000000004	0.4318589	pass	pass	0.020944899999999995	0.5652206	pass	pass	0.036117500000000004	0.7110088000000001	pass											
sub-077	y	--	good	check	check	check	check	check	check	check	check	--	pass	0.014050499999999836	0.7117521	pass	pass	0.022251999999999963	0.766467	pass	pass	0.02329999999999997	0.9001946999999999	pass	pass	0.020600949999999986	0.87105335	pass	--						
sub-078	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.022887845	0.385660425	pass	pass	0.021443000000000014	0.32712924	pass	pass	0.015924299999999975	0.3930185	pass	pass	0.025391869999999983	0.52356645	pass	--						
sub-079	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02634066	0.72374753	pass	pass	0.015540409483932984	0.42842255	pass	pass	0.017649080000000008	0.600094363	pass	pass	0.01988325000000001	0.68234535	pass	--						
sub-080	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029814835000000005	0.564556595	pass	pass	0.017858350000000002	0.4998015650000001	pass	pass	0.028602200000000005	0.6479185999999999	pass	pass	0.02169295499999997	0.5085661899999999	pass	--						
sub-082	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.009509800000000028	0.1974332000000001	pass	pass	0.009822700000000005	0.21043880000000004	pass	pass	0.018955865000000016	0.17825874	pass	pass	0.013602099999999995	0.18873975	pass	--						
sub-083	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.033051049999999985	1.2562378	pass	pass	0.04933625999999997	0.9395057999999998	pass	pass	0.04011714999999996	1.21234128	pass	pass	0.046149799999999935	0.5592426500000001	pass	--						
sub-084	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.050156099999999836	1.23384236	pass	pass	0.010865660000000013	0.8279312299999999	pass	pass	0.02441235	0.588971555	pass	pass	0.018481699999999983	1.1044071999999998	pass	--						
sub-085	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.02053710000000009	0.6389224	pass	pass	0.028200535	0.43490325	pass	pass	0.0066595634999999966	0.43126099999999995	pass	pass	0.019284099999999967	0.4185780800000001	pass	--						
sub-086	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.029682611	1.20701118	pass	pass	0.013491499999999984	0.416086175	pass	pass	0.02716940000000004	0.49940604	pass	pass	0.03438552	0.41476625	pass	--						
sub-087	y	--	good	check	check	check	check	check	check	check	check	--	pass	0.024999	0.43082615	pass	pass	0.016710029999999994	0.381962895	pass	pass	0.043658450000000015	0.48991975	pass	pass	0.0246505	0.46344645	pass	--						
sub-088	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.018957249999999967	0.8049733000000001	pass	pass	0.018466099999999985	0.80899887	pass	pass	0.017548000000000022	0.454800915	pass	pass	0.0205329315	0.42881972	pass	--						
sub-089	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.007548406999999998	0.7139316	pass	pass	0.02183888	0.7288943	pass	pass	0.02536960000000001	0.918731075	pass	pass	0.032222335000000005	0.9993328000000001	pass	--						
sub-090	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011059800000000015	0.6133645300000001	pass	pass	0.017543109999999962	0.29479584	pass	pass	0.02536599	0.26170416	pass	pass	0.01620284500000001	0.31445425	pass	--						
sub-091	y	--	good	check	missing	check	missng	check	missing	check	missing	--	pass	0.022427400000000042	2.2388535	pass	pass	0.01581525000000002	0.9284474150000002	pass	pass	0.008175749999999996	0.7831818499999998	pass	pass	0.015532999999999991	0.59580565	pass	--						
sub-092	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.011669716420000005	0.32892195	pass	pass	0.012748950000000005	0.26610595	pass	pass	0.0244081	0.31792302	pass	pass	0.019509084	0.35048635	pass	--						
sub-093	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.007776749999999982	0.1925698	pass	pass	0.01469843	0.1903359	pass	pass	0.009454716340000002	0.18897985	pass	pass	0.015955800000000006	0.1717444	pass	--						
sub-095	y	--	good									--	pass	0.0017948000000000007	0.28537422	pass	pass	0.010717139850000005	0.34572679999999995	pass	pass	0.009672149999999996	0.26464604065	pass	pass	0.014437849999999988	0.226356195	pass	--						
sub-096	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.014443400000000037	0.4514085	pass	pass	0.01424075	0.4634495000000001	pass	pass	0.023039799999999992	0.3922469	pass	pass	0.010603375000000002	0.6114610650000001	pass	--						
sub-097	y	--	good									--	pass	0.019433659	0.48188804	pass	pass	0.0037050490999999946	0.2594193552	pass	pass	0.022231249999999963	0.54447865	pass	pass	0.01797897	0.34105915000000003	pass	--						
sub-098	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.015873400000000003	0.4860062000000001	pass	pass	0.022416569999999983	0.8296828499999999	pass	pass	0.01687744	0.29301534	pass	pass	0.024062750000000008	0.278419509	pass	--						
sub-099	y	--	good									--	pass	0.03154464999999999	1.54317268	pass	pass	0.0252205	1.011664	pass	pass	0.015636499999999973	1.1778343999999998	pass	pass	0.03026620000000005	0.8765974999999999	pass	--						
sub-100	y	--	good	good	good	good	good	good	good	good	good	--	pass	0.049410699999999995	0.9417274	pass	pass	0.03443155000000001	0.88625465	pass	pass	0.038172255	0.515596548	pass	pass	0.04222389999999993	3.5439059	fail	--						
